function name,avg time,min time,max time,std dev
copy_matrix_5000,0.020218,0.114555,0.129130,0.961203
copy_matrix_7000,0.037883,0.114555,0.229627,1.026023
copy_matrix_9000,0.063602,0.114555,0.394321,1.105355
look_and_say_sequence_40,0.009414,0.054486,0.058883,0.023050
look_and_say_sequence_45,0.034119,0.054486,0.207159,0.083536
look_and_say_sequence_48,0.076040,0.054486,0.475060,0.186279
iterative_fibonacci_25,0.000000,0.000000,0.000001,0.000000
iterative_fibonacci_35,0.000000,0.000000,0.000001,0.000000
iterative_fibonacci_45,0.000000,0.000000,0.000001,0.000000
recursive_fibonacci_25,0.000007,0.000000,0.000103,0.000024
recursive_fibonacci_35,0.000899,0.000000,0.011011,0.003115
recursive_fibonacci_45,0.109762,0.000000,1.320817,0.380229
matrix_multiplication_1500,0.287630,1.586255,1.964866,0.707105
matrix_multiplication_1750,0.470124,1.586255,3.140292,1.155487
matrix_multiplication_2000,0.685917,1.586255,4.515763,1.586203
evaluate_functions_80000,4.951514,29.248533,30.159717,12.129633
evaluate_functions_90000,5.481062,29.248533,33.258265,13.426401
evaluate_functions_100000,6.178303,29.248533,37.634370,15.136456
belief_propagation_250,0.053801,0.318616,0.325993,0.127663
belief_propagation_500,0.106162,0.318616,0.638950,0.252310
belief_propagation_1000,0.208643,0.318616,1.255391,0.498088
markov_chain_function_5000,0.000101,0.000592,0.000624,0.058465
markov_chain_function_10000,0.000194,0.000592,0.001185,0.095488
markov_chain_function_15000,0.000287,0.000592,0.001726,0.139310
iterative_solver_100,0.030064,0.177412,0.181913,0.071726
iterative_solver_150,0.140710,0.177412,0.848835,0.337708
iterative_solver_200,0.423391,0.177412,2.552678,1.021576
find_munchausen_numbers_0,1.424372,2.795797,2.897972,2.014385
find_pernicious_numbers_100000,0.000558,0.001080,0.001148,0.000789